Date,Volume,Turnover,Open,High,Low,Close,Change,Trades
2021-01-04,39489959.0,21127581248.0,530.0,540.0,528.0,536.0,6.0,33316.0
2021-01-05,34839391.0,18761831567.0,536.0,542.0,535.0,542.0,6.0,28512.0
2021-01-06,55614434.0,30572783229.0,555.0,555.0,541.0,549.0,7.0,55462.0
2021-01-07,53392763.0,30018630685.0,554.0,570.0,553.0,565.0,16.0,47905.0
2021-01-08,62957148.0,36339702855.0,580.0,580.0,571.0,580.0,15.0,56426.0
2021-01-11,52771778.0,30535694908.0,577.0,584.0,574.0,584.0,4.0,49539.0
2021-01-12,52605212.0,30958142918.0,583.0,597.0,582.0,591.0,7.0,59595.0
2021-01-13,75707681.0,45419255149.0,595.0,605.0,593.0,605.0,14.0,59966.0
2021-01-14,90309708.0,53477747672.0,587.0,597.0,587.0,592.0,-13.0,111849.0
2021-01-15,100998199.0,61876473170.0,621.0,625.0,601.0,601.0,9.0,105961.0
2021-01-18,50388664.0,30406611574.0,608.0,608.0,594.0,607.0,6.0,49008.0
2021-01-19,52947466.0,32934404720.0,618.0,632.0,613.0,627.0,20.0,55490.0
2021-01-20,95484470.0,61279319857.0,633.0,650.0,631.0,647.0,20.0,95577.0
2021-01-21,97590371.0,64624578866.0,640.0,679.0,640.0,673.0,26.0,115004.0
2021-01-22,134238314.0,88023707664.0,649.0,665.0,649.0,649.0,-24.0,235186.0
2021-01-25,98608285.0,62583576696.0,642.0,646.0,626.0,633.0,-16.0,154134.0
2021-01-26,114797609.0,71638808826.0,632.0,640.0,610.0,617.0,-16.0,177764.0
2021-01-27,72823691.0,44931754892.0,618.0,625.0,611.0,615.0,-2.0,77274.0
2021-01-28,104181514.0,62647021616.0,600.0,608.0,598.0,601.0,-14.0,157835.0
2021-01-29,96875889.0,58399782288.0,619.0,619.0,591.0,591.0,-10.0,129394.0
2021-02-01,70161939.0,42004241697.0,595.0,612.0,587.0,611.0,20.0,81346.0
2021-02-02,80724207.0,50938461582.0,629.0,638.0,622.0,632.0,21.0,82687.0
2021-02-03,59763227.0,37926170035.0,638.0,642.0,630.0,630.0,-2.0,56515.0
2021-02-04,47547873.0,29765963971.0,626.0,632.0,620.0,627.0,-3.0,44668.0
2021-02-05,57350831.0,36435290641.0,638.0,641.0,631.0,632.0,5.0,51140.0
2021-02-17,115578402.0,76728732025.0,663.0,668.0,660.0,663.0,31.0,91925.0
2021-02-18,54520341.0,36024245089.0,664.0,665.0,656.0,660.0,-3.0,49914.0
2021-02-19,51651844.0,33676514428.0,656.0,657.0,647.0,652.0,-8.0,63171.0
2021-02-22,39512078.0,25885948680.0,660.0,662.0,650.0,650.0,-2.0,47116.0
2021-02-23,52868029.0,33779796222.0,641.0,643.0,633.0,641.0,-9.0,73349.0
2021-02-24,80010637.0,50333904697.0,627.0,636.0,625.0,625.0,-16.0,138264.0
2021-02-25,45279276.0,28634410089.0,636.0,636.0,628.0,635.0,10.0,46506.0
2021-02-26,137933162.0,84194194399.0,611.0,618.0,606.0,606.0,-29.0,212428.0
2021-03-02,57792973.0,35565213485.0,621.0,622.0,609.0,609.0,3.0,71325.0
2021-03-03,61171387.0,37550028241.0,609.0,622.0,601.0,622.0,13.0,57677.0
